detokenize_text,sentimen
baleg kaji butuh ruu rampas aset regulasi berantas korupsi beritanasional rabu korupsi baleg ruu,positif
ruu rampas aset tidak masuk prolegnas baleg dpr buka suara bnetwork,negatif
khawatir ruu rampas aset sahkan kpk nya tidak independen ketek kuasa,negatif
iqra goblok buzzer goblok situ baca belum draf ruu rampas aset,negatif
makan triliun koruptor bela orang musuh tidak kesah ruu rampas aset fixxx anak abah dzalim biadan semuah masuk abah,negatif
orang sok idealis tagar indonesia daurat indonesia tidak ayok demo jangan ribut bela ruu pilkada untung partai bela ruu rampas aset koruptor,positif
iya sita harta ruu rampas aset sah,positif
susah ujung tombak berantas korupsi malas bahas ruu rampas aset koruptor berani koruptor,negatif
ruu rampas aset dpr duga takut masuk prolegmas syah jabat usaha kaya raya cemas hasil kekayaanya selidik,negatif
orang sok idealis tagar indonesia daurat indonesia tidak ayok demo jangan ribut bela ruu pilkada untung partai ruu rampas aset koruptor kicep vangke,negatif
tanpa tuju tum partai wakil partai berani kesah ruu rampas aset mas bambang pacul bilang tanpa restu tum tidak proses lahhh,negatif
indonesia darurat korupsi sahkan ruu rampas aset bayang koruptor tangkap enak senyum hukum nya ringan,positif
sulit harap bangsa,negatif
ringan ruu rampas aset sah,positif
ruu rampas aset tidak masuk prolegnas mimpi kosong miskin,negatif
ruu rampas aset milik urgensi ruu prolegnas prioritas kerja berantas korupsi stagnan via,positif
dukung visi anti korupsi presiden prabowo aleg pks dorong ruu rampas aset masuk prolegnas prioritas fraksi pks perintah sigap dim nya,positif
btw jangan lena gebrak perintah kliatannya ngeringkus koruptor ruu rampas aset tidak masuk prolegnas bener serius selesai korupsi negara ato neken oposisi,negatif
topik diskusi pagi dorong dpr bahas ruu rampas aset pandang teliti pusat kaji antikorupsi ugm yogyakarta,positif
ayo bangsat hestek darurat kesah ruu rampas aset,negatif
pikir ruu rampas aset bukan butuh,negatif
jangan hukum mati hukum rampas aset tidak tuju dpr dorong jokowi kali jokowi mahasiswa demo lolos ruu rampas aset tidak baya,negatif
harap presiden tuntas ruu rampas aset,positif
yth presiden yth ruu rampas aset koruptor sahkan tidak kesah rakyat curiga tidak serius bangsa negara keliling koruptor,negatif
gas poll ruu rampas aset goal dpr kejang kejang koruptor,positif
ruu rampas aset tidak masuk prolegnas usul dpr baleg konsolidasi kaji,negatif
ruu rampas aset harap bangsa korupsi,positif
tolol ruu rampas aset kebut jokowi prof mahfud otak bayar rusuh negara tod,negatif
prabowo kerap bicara antikorupsi pukat ugm desak perintah dpr sahkan ruu rampas aset tempometro,positif
kyknya sulit sahkan ruu rampas aset koruptor,negatif
ruu rampas aset,positif
lucu fokus demo ruu rampas aset orang waras mah milih paslon sahkan ruu rampas aset sok peduli korupsi ngehujat orang sah ruu rampas aset kocak,negatif
ruu bukti tolak dpr jaman mega presiden ruu rampas aset tolak dpr jaman sby jokowi presiden,negatif
tidak mudah tidak jujur hati nurani mesti mudah mudah niat korupsi ruu rampas aset tidak bahas takut miskin hukum mati laku korupsi,negatif
ruu rampas aset koruptor indonesia tidak darurat,negatif
dorong ruu rampas aset gulir rapat baleg dpr,positif
ruu rampas aset tinggal sah cepat mafia tidak rakyat berisik lihat tidak serius tangan korupsi jamur masif rakyat tidak lelah mens,positif
baleg dpr dengar komisi iii ruu rampas aset,positif
baca berita belum keliyatan min biang kerok ruu mangkrak dpr,negatif
ruu rampas aset rakyat disahinnya tuntut mang kuasa objektif kerja jangan makan kriminalisasi framing media bangkitin karakter orang salah,negatif
perintah dpr isi koalisi tidak political willnya sahkan ruu rampas aset political willnya rakyat tidak demo,negatif
bud arahin buzzerrp ramein ruu rampas aset biar cepat sah tom lembong laku buzzer nekan dpr,positif
wakil ketua baleg nyata usul komisi iii ruu rampas aset masuk prolegnas via,negatif
dpr anggap ruu rampas aset belum,negatif
suka nonton berita yutup isi tangkap koruptor sahkan ruu rampas aset miskin koruptor nyala presiden,positif
baleg dpr berantas korupsi indonesia efektif tanpa ruu rampas aset baca lengkap,negatif
ruu rampas aset tunda penuh suka miskin,negatif
bagus koruptor berantas tidak tebang pilih sahkan ruu rampas aset,positif
mumpung ruu rampas aset belum sah,negatif
jokowi ruu rampas aset sah gilir ungkit ungkit bukan era adil tidak,negatif
moga era prabowo rampas aset sah rakyat tidak setuju rampas aset sanksi ruu rampas aset jokowi jabat belum sah,positif
tidak proses ruu rampas aset modal kampanye pileg pilpres pilkada puluh ratus miliar tekor bandar kolega nya sah isu rampas aset angin surga negeri penya,negatif
korupsi tidak selidik heran koruptor bain nyerang perintah nyata baris bela koruptor ogah demo ruu rampas aset dolo idola koruptor heran koruptor bis,negatif
baleg dpr ruu rampas aset kaji ditindaklanjuti,positif
tahan indonesia enak koruptor duit hukum ringan kaya aman bebas jabat asuog tidak berani sahkan ruu rampas aset matane picek,negatif
tidak indikasi dpr korupsi perintah bukti perintah tidak ngotot kesah ruu rampas aset pegang uang negara perintah tidak dpr korupsi tanpa bekerjasama perintah,negatif
wakil ketua baleg dpr ahmad dol kurnia ruu rampas aset bahas masuk program legislasi nasional prolegnas,positif
ruu rampas aset,positif
pks wanti wanti ruu rampas aset jangan tunggang politik newsupdate update news text,negatif
nya partai berani sahkan ruu rampas aset ruuprt ruu tanah adat kacung tum par tainya projo gabung kacung par tai grandong tidak berani sahkan ruu,positif
beliau saran bubar dpr ngeri dpr wadah koruptor jokowi sahkan ruu rampas aset tutup kuping takut jdi miskin,positif
bukan jokowi dukung ruu rampas aset,positif
kubu takut kesah ruu rampas aset koruptor,positif
ruu rampas aset tidak mudah wakil wakil rakyat mudah rakyat,positif
legislator pks harap baleg periode harap masyarakat iya ruu rampas aset alat politik indonesia,negatif
tidak berani men sah ruu rampas aset jangan mulut,positif
pks sorot ruu rampas aset tekan mitigasi tidak alat politik,negatif
ruu rampas aset tidak masuk prolegnas usul dpr icw kecewa ruuperampasanaset,negatif
takut miskin ruu rampas aset sulit,positif
closing statement lucius salah kanal usul buka ruang publik usul ruu dpr ruu harap prolegnas salah ruu rampas aset harap publik,positif
indonesia corruption watch icw nilai langkah dpr tidak masuk rancang undang undang ruu rampas aset daftar usul program legislasi nasional prolegnas kecewa publik,negatif
ruu rampas aset koruptor,negatif
ruu rampas aset usul perintah belum pimpin dpr surat presiden belum bicara tingkat ruu tidak muncul disparitas tidak tangkap dpr wujud,negatif
bicara lucius karus teliti senior forum masyarakat peduli parlemen indonesia iya badan legislasi kumpul ruu daftar prolegnas berita nasib ruu rampas aset,positif
kpk sorot ruu rampas aset berantas korupsi,positif
pukat ugm harap prabowo perintah koalisi prioritas ruu rampas aset,positif
rakyat usul dpr bubar biang karupsi ruu rampas aset tunda pdip megawati,negatif
scara akal sehat mmbenci mantan presiden tolak ruu rampas aset koruptor cari alas liat bersih orang mmng mental korupsi sok bilang mantan presisden sgala kura,negatif
jabat bank china hukum mati korupsi,negatif
pdip tidak usul sahkan ruu rampas aset koruptor,negatif
independensi kpk sahkan ruu rampas aset,positif
bahas korap korupsi melulu noh ruu rampas aset implementasi,negatif
aduhhh mas liat suruh belah suruh demo ruu rampas aset tidak mahasiswa,negatif
tegak hadap korupsi ruu rampas aset cepat lembaga kait hukum polri jaksa hakim benah,positif
perintah yusril kpk sahkan ruu rampas aset korupsi harta rampas negara tanpa syarat hukum koruptor jangan batas hukum mati korupsi miliar wajib hukum mati,positif
betol ruu rampas aset kendala naseb,negatif
ruu rampas aset sah dpr jangan malas,positif
presiden ppn imbas orang cilik tidak cari dana bangun bocor ulah koruptor rampas aset koruptor ruu nya sahkan,positif
sahkan ruu rampas aset usul ruu korupsi hukum mati,positif
tidak omong aksi nyata perpu dpr sahkan ruu rampas aset tidak omong,negatif
partai tidak berani masuk ruu rampas aset bukti harta prolegnas isi koruptor nga aju lihat partai dukung nga,negatif
nyungsep nyungsep jangan bilang tidak jujur bla bla bla bongkar ruu rampas aset tidak selesai selesai ngebahas nya peti,negatif
prioritas kesah ruu rampas aset ruu ptuk,positif
coba ruu rampas aset kobar jangan demo tidak masuk akal,negatif
babi koruptor kpk mandul dipliara ruu rampas aset bukan prioritas prolegnas ancurr,negatif
misi didik kesah ruu rampas aset korupsi,positif
orang semangat kerja partai ruu rampas aset tidak kunjung sah kuasa raup rizki haram limpah bohong teriak teriak berantas korupsi tidak sahkan ruu pdi berani partai takut kolep,negatif
coblascoblos kek tidak legislatif eksekutif suara ruu rampas aset golputaja,negatif
gilir pajak dikerjain cepat cepat buru buru cari duit ruu rampas aset diam tidak disahin tidur pulas sungguh sial woe beneran bukan,negatif
banteng korupsi ruu rampas aset tidak bahas,negatif
nyata korupsi negeri kanker jalar tubuh wabah sulit berantas ruu rampas aset tidak masuk prolegnas rupa indikasi mental korupsi dominan juang bang,negatif
ruu rampas aset tidak masuk daftar program legislasi nasional prolegnas prioritas ruu masuk prolegnas jangka lega elite korupsi modal pileg pilkada,negatif
hukum koruptor belum lawan tidak tindak contoh ruu rampas aset kabar,negatif
ruu rampas aset susah realisasi saudara hukum mati,negatif
ruu rampas aset ajang adu kuat ajang sandera menuandera logika perintah anggota dpr tidak berani kesah ruu hukum cepat sah undang,negatif
sulit kesah ruu rampas aset presiden prabowo kuat terap,negatif
babat habis judol next babat habis koruptor sahkan ruu rampas aset korupsi,positif
anjing kuasa diam gilir lengser koar koar goblok lolos ruu rampas aset kuasa gobl,negatif
bison ogah proses ruu rampas aset takut duit judol rampas negara bison tantang pres perpuu pan,negatif
bgmn perioritas ruu rampas aset dpr perintah suka korupsi,negatif
bukti berantas korupsi omong basmi koruptor revisi tipikor masuk hukum mati koruptor rugi negara minimal milyar usul ruu rampas aset bersih pecat oknum kotor lemb pngk hukum,negatif
janji janji dukung goalkan ruu rampas aset kentut,negatif
milu biaya hasil milu tidak mengakomodir rakyat desak ruu rampas aset,negatif
urus berantas korupso naikin pajak koruptor raja lela kpk lemah ruu rampas aset tidak beres beres ruu pilkada kemaren cepat naikin pajak kaya koruptor,negatif
dewan parlemen syetan sudi bahas,negatif
tidak usab strike strike sah ruu rampas aset berani tidak dpr,negatif
inget tidak rapat dpr jalanin ruu rampas aset bos nya tidak acc tidak ketok palu bambang pacul bilang tidak acc,negatif
koq susah lolos rampas aset koruptor koruptor loo maling duit rakyat ruu desak sahkan,negatif
pasal kena pasal takut tppu alias miskin kisi kisi ruu rampas aset koruptor tppu,positif
sehat selesai judol sahkan ruu rampas aset korupsi,positif
tidak tidak suruh anggota fraksi dorong kerah ruu rampas aset,negatif
clue ruu rampas aset tidak kelar,negatif
madilog dialog ruu rampas aset langkah progresif ancam koruptor halo keluarga mahasiswa upnvj edisi kali bawa isu putar tebak,negatif
ruu rampas aset tidak masuk prolegnas berantas korupsi prioritas utama perintah alas perintah tidak gesa belum sepakat kait judul,negatif
pdi tidak berani gertak sambal berani ruu rampas aset sahkan pdi tidak berani elitte partai libat korupsi ktp puan pramono anung hasto,negatif
dpr srmakin lihat belang ruu rampas aset tidak masuk prolegnas dpr,negatif
takut bahas sahkan ruu rampas aset curiga,negatif
ott larang ruu rampas aset ngak tangkap kpk telepon koruptor manja,negatif
sakit kronis indonesia korupsi coba tidak korupsi rakyat hidup makmur biar tidak korupsi hukum maksimal koruptor ruu rampas hak aset sahkan biar harta koruptor rampas takut koruptor,positif
pdip nasib ruu rampas aset urgen terbit perppu ayombangundeso gelorapurworejo pituruh kemiri bruno sekartejo wonoyoso karanggetas prigelan somogede kalimeneng kemirilor kapiteran loning brunorejo purworejo wahyudi anismatta fahrihamzah,negatif
aria bima wakil ketua komisi dpr bahas ruu rampas aset masuk prolegnas jangka bahas ruu rampas aset tidak laku gesa gesa,positif
aria bima respons nyata menteri hukum supratman andi agtas lobi ketua partai politik bahas ruu rampas aset,positif
politisi pdi juang aria bima tantang perintah terbit atur perintah ganti undang undang perppu kait ruu rampas aset nilai desak,positif
menkum bilang berantas korupsi agenda utama presiden lucu ruu rampas aset tidak masuk prolegnas ruu prioritas,negatif
kim pegang kuasa prioritas arah tum tum oposisi pdip kim suara ngotot ruu rampas aset pdip ahyoo mikir,negatif
paham kumpul hormat ogah kesah ruu rampas aset,negatif
ruu rampas aset populer jelang milu,negatif
masuk belum ruu rampas aset masuk prolegnas belum iya,negatif
tanpa prabowo presiden omong omong bebas negeri maling sahkan ruu rampas aset,negatif
kait coba otak haters jokowi anak abah tidak buzzer pokok salah jokowi tidak peduli nyambung tidak tidak jabat hidup koruptor tolak ruu rampas aset sah,negatif
jangan mimpi prabowo perppu rampas aset ganjal ruu rampas aset dpr gang gerindra menkumham,negatif
lhaa mas pdip mayoritas fraksi mingkem kait ruu rampas aset koruptor pdip minoritas kursi kursi kim terbit perppu ideny tpsemua pulang presiden prabowo,negatif
kaya ruu rampas aset molor sah,negatif
ruu rampas aset tidak masuk prioritas icw singgung komitmen dpr baca lengkap berita hukum politik ekonomi,negatif
ruu rampas aset ruu,positif
ruu rampas aset usul presiden tidak tanggap ketua dpr pdip pro perintah tidak masuk pembahsan sakarang teriak pos,negatif
ruu rampas aset tidak prolegnas koruptor happy,negatif
kim plus mulyono geng kerja kerdilin pdip olah partai menang tidak dukung ruu rampas aset keluarga mulyono kena gratifikasi takut rampas negara aset maling,negatif
bahas ruu rampas aset dpr tinggal syarat biar bawa kurang paham,negatif
ruu rampas aset alot dpr presiden prabowo tekan perpu rampas aset laksana hukum politikus pdip tantang perintah teken perppu rampas aset,positif
biar negara tidak rugi kebut ruu rampas aset jangan korupsi bangke bangke,positif
apotik tutup tong apbn uap korupsi era mulyono ruu rampas aset belum ketuk kim plus haram ded doyan tidak,negatif
pdip tidak bahas ruu rampas aset sok nantang perintah partai ayam betina tidak sok,negatif
perintah tolak ruu rampas aset,negatif
lupa laku jegal ruu rampas aset,negatif
ketua dpr pimpin anak megawati jangan harap ruu rampas aset lolos,negatif
ketua dpr pimpin partai banteng jangan harap ruu rampas aset lolos,negatif
mabok lupa orang hilang ruu rampas aset lupa laku utama nya partai nya,negatif
niat nya cari simpati bunuh pedeipeh hambat ruu rampas aset takut maling kena,negatif
prabowo penjara anggota dpr tolak ruu rampas aset presiden prabowo menteri hukum ulas ulang ruu rampas aset unggah isi klaim prabowo penjara anggota dpr tolak ruu rampas aset rupa konten,positif
kejar tangkap coba ruu rampas aset koruptor hukum mati tanda tanganin uang rakyat hak rakyat bal rakyat nikmat nya,positif
ruu rampas aset bukti deh sulit percaya ruu gol korban terap politisi duduk eksekutif legislatif anggap,negatif
bukan nya pdi tidak sah ruu rampas aset,negatif
ruu rampas aset gantung olah dpr takut gorok leher,negatif
wakil rakyat mangkrak ruu rampas aset koruptor hilang bnyak uang negara pdahal negara btuh anggar subsidi bbm subsidi sehat didik infrastruktur subsidi rmh tinggal,negatif
anggota dpr takut ott ruu rampas aset takut kes hindar,negatif
alhamdulillah untung tidak milih golput pileg pilih tidak mempertanggungjawabkan pilih kelak akhirat pilih orang brengsek gaji gede pensiun uang rakyat,negatif
box jangan harap ruu rampas aset sah masuk prolegnas,negatif
koruptor hukum penjara tidak suruh balikin sesuai rugi negara bayar denda penjara ringan dpr sahkan ruu rampas aset gilir milu cal,negatif
tidak desak kesah ruu rampas aset koruptor uang negara ilang hasil korupsi ubah harta gerak,negatif
tolak ppn sgt bahaya apbn smuanya hitung teliti wakil rakyat kumpul orang bodoh bsa kritik ruu rampas aset mangkrak kaum celeng pdahal uang negara ilang koruptor,negatif
rapat kerja raker susun prolegnas ruu jangka prolegnas ruu prioritas,positif
usul rancang undang undang ruu rampas aset kait tindak pidana program legislasi nasional prolegnas,positif
ruu rampas aset masuk usul prolegnas kakanwil kemenkumham malut dukung langkah menteri hukum jakarta menteri hukum republik indonesia supratman andi agtas perintah komitmen kuat berantas korupsi,positif
tolol mending sah ruu rampas aset opini tolol bgini dunia,negatif
negara korupsi hukum mati indonesia tidak korupsi negara percaya hadap pajak beda wajar benahin percaya masyarakat pajak utama ruu rampas aset,negatif
mas produk dpr perintah nyusahin liat ruu rampas aset tidak masuk prolegnas otak kriminal waspada gorok leher dis,negatif
nya perintah korek pajak orang cilik kais rejeki untung minim duwit sejahtera korupsi tidak sahkan ruu rampas aset koruptor efek jera,negatif
kaya tidak lgsg dor singgung ham perintah ribet ruu rampas aset tidak disahin nya butuh biar optimal implementasi tidak salah sasar,negatif
puan maharani ketua ruu rampas aset koruptor tidak masuk prolegnas serius tidak dpr berantas korupsi,negatif
hahaha dahvtaubkan sebenernya tidak beres emng tidak wakil rakyat dpr orngbmereka nikmat hasil korupsi ruu rampas aset gaknbakal tuju,negatif
bilang ruu rampas aset pedang mata rawan diktator kawan tikus wkwk australia terap unexplained wealth perintah diktator,negatif
mmbuktihkan min pimpin ideal tidak belum timbul ragu ott tiada lbih utama cegah sisi ruu rampas aset belum mnjdi yaki,negatif
amanah konstituen masuk prolegnas ruu rampas aset laku konstitusi ahkan amnesty pajak,negatif
ruu rampas aset miskin koruptor acc keun,positif
ruu rampas aset pisau mata reminder,negatif
tidak nyinyir protes psi sok bahas ruu rampas aset aksi protes ruu pilkada darurat agustus,negatif
habiburrohman elit gerindra refleksi sikap prabowo thd korupsi koruptor duo gerindra supratman menkumham,negatif
harap ruu rampas aset kerjain iya miskinin,negatif
perintah menkumham supratman gerindra,positif
presiden perintah dorong kuat tenaga ruu rampas aset rampas aset,negatif
boro boro sahkan ruu rampas aset usul mentang mentang mayoritas dukung perintah tidak inget ruu rampas aset nya,negatif
eksekutif legislatif jalan iring untung kantong kron,negatif
